store_id,brand,store_name,channel,trade_area,seats,monthly_rent_manwon,var_cost_rate,bep_daily_guests
CH-001,Chai797,여의도IFC점,오피스상권,여의도,120,1080,0.38,72
CH-002,Chai797,센터원점,오피스상권,종로,110,990,0.38,66
CH-003,Chai797,강남파이낸스점,오피스상권,강남역,130,1170,0.38,79
CH-004,Chai797,더현대서울점,백화점·쇼핑몰,여의도,90,1260,0.38,62
CH-005,Chai797,스타필드수원점,백화점·쇼핑몰,수원,95,1330,0.38,65
CH-006,Chai797,을지로센터점,오피스상권,을지로,85,760,0.38,51
HS-007,호우섬,더현대서울점,백화점·쇼핑몰,여의도,80,1120,0.42,70
HS-008,호우섬,코엑스몰점,백화점·쇼핑몰,삼성,85,1190,0.42,74
HS-009,호우섬,현대판교점,백화점·쇼핑몰,판교,75,1050,0.42,65
HS-010,호우섬,신세계대전점,백화점·쇼핑몰,대전,70,980,0.42,61
HS-011,호우섬,롯데명동점,백화점·쇼핑몰,명동,78,1090,0.42,68
SR-012,서리재,광화문점,오피스상권,광화문,90,810,0.38,46
SR-013,서리재,삼성동점,오피스상권,삼성,85,760,0.38,43
SR-014,서리재,해운대점,로드샵,부산,95,680,0.38,46
BG-015,바른고기 정육점,강남점,오피스상권,강남역,70,630,0.38,31
BG-016,바른고기 정육점,을지로점,오피스상권,을지로,65,580,0.38,29
BG-017,바른고기 정육점,여의도점,오피스상권,여의도,72,650,0.38,32
IT-018,이타마에 스시,광화문디타워점,오피스상권,광화문,38,340,0.45,14
IT-019,이타마에 스시,롯데월드몰점,백화점·쇼핑몰,잠실,40,560,0.45,17
IT-020,이타마에 스시,현대판교점,백화점·쇼핑몰,판교,36,500,0.45,16
IT-021,이타마에 스시,도곡점,로드샵,도곡,34,240,0.45,12
CH-022,Chai797,판교테크원점,오피스상권,판교,105,940,0.38,63
HS-023,호우섬,롯데월드몰점,백화점·쇼핑몰,잠실,82,1140,0.42,71
SR-024,서리재,여의도점,오피스상권,여의도,88,790,0.38,45
BG-025,바른고기 정육점,판교점,오피스상권,판교,68,610,0.38,30
