trade_area,type,daily_traffic_k,office_pop_k,rent_index,competition_density,access_score,note
여의도,기존,95,82,1.0,14,9,"오피스 핵심, 점심 수요 강세"
강남역,기존,140,70,1.3,22,10,"유동 최다, 임대료·경쟁 동반 최고"
판교,기존,78,88,0.95,11,8,"IT 오피스, 객단가 여력 높음"
광화문,기존,88,76,1.05,16,9,오피스+관광 혼합
을지로,기존,70,58,0.9,19,7,"노후 상권, 야간 수요 약함"
삼성,기존,92,80,1.15,17,8,"코엑스 연계, 주중·주말 고른 수요"
잠실,기존,130,45,1.2,20,9,"쇼핑몰 집객, 가족 단위"
수원,기존,85,40,0.85,12,7,"스타필드 의존, 평일 약세"
대전,기존,60,35,0.7,9,6,"지방 백화점, 집객 한계"
부산,기존,110,38,0.8,15,7,"해운대 관광 수요, 계절 편차"
도곡,기존,55,42,1.1,8,7,"고소득 주거, 디너 수요"
명동,기존,160,30,1.4,28,8,"관광 의존, 임대료 최고권"
마곡,후보,72,90,0.78,6,8,"신흥 오피스, 경쟁 희박·임대료 낮음"
용산,후보,105,62,1.1,13,9,"신규 개발+관광, 균형형"
성수,후보,98,48,1.05,24,8,"트렌드 상권, 경쟁 과밀"
위례,후보,50,35,0.72,5,6,"주거 신도시, 디너 가능성"
광교,후보,64,70,0.82,7,7,"수원권 오피스, 판교 대안"
송도,후보,58,55,0.75,6,6,"국제업무지구, 외국인 수요"
청담,후보,70,40,1.35,18,8,"프리미엄 다이닝, 파인다이닝 적합"
동탄,후보,80,52,0.74,8,7,"신도시 가족, 쇼핑몰 입점형"
